"5001","21st Century Oncology, Inc. School for Radiation Therapy Technology","21stcenturyoncology","1419 S.E. 8th Terrace","Cape Coral","FL","33909"
"5002","Forty-Niner ROP","49errop","360 Nevada Street","Auburn","CA","95603"
"5003","Four-D College - Colton","4Dcollege","1020 East Washington Street","Colton","CA","92324"
"5004","Nevada Regional Technical Center","50states","900 West Ashland","Nevada","MO","64772"
"5005","A1 Business and Technical College","a1colleg","Dr Rufo Street, Suite 14","Caguas","PR","725"
"5006","American Academy of Acupuncture and Oriental Medicine","aaaom","1925 West County Road B2","Roseville","MN","55113"
"5007","American Academy of Art","aaart","332 S Michigan Ave","Chicago","IL","60604"
"5008","Asian American International Beauty College","aabeautycollege","7871 Westminster Blvd","Westminster","CA","92683"
"5009","Anne Arundel Community College","aacc","101 College Parkway","Arnold","MD","21012"
"5010","American Academy of Dramatic Arts","aada","120 Madison Ave","New York","NY","10016"
"5011","Arizona Automotive Institute","aai","6829 N 46th Ave","Glendale","AZ","85301"
"5012","Alabama A & M University","aamu","4900 Meridian St","Normal","AL","35762"
"5013","The American Academy of Personal Training","aaptschool","138 West 14th Street","New York","NY","10011"
"5014","Alderson Broaddus University","ab","101 College Hill Drive","Philippi","WV","26416"
"5015","Abraham Baldwin Agricultural College","abac","2802 Moore Hwy","Tifton","GA","31793"
"5016","Appalachian Bible College","abc","161 College Drive","Mt. Hope","WV","25880"
"5017","ABC Adult School","abcadultschool","12254 E. Cuesta Drive","Cerritos","CA","90703"
"5018","American Baptist College","abcnash","1800 Baptist World Ctr Dr","Nashville","TN","37207"
"5019","Arlington Baptist College","abconline","3001 W Division","Arlington","TX","76012"
"5020","Abcott Institute","abcottinstiutute","16250 Northland Drive, Suite 205","Southfield","MI","48075"
"5021","Austin Business College","abctx","2101 I H 35 South Ste 300","Austin","TX","78741"
"5022","Abdill Career College Inc","abdill","843 E Main Ste 203","Medford","OR","97504"
"5023","California Learning Center","aboutclc","222 South Harbor Blvd., Suite 200","Anaheim","CA","92805"
"5024","Absolute Safety Training Paramedic Program","absolutesafetytraining","1133 W. Sycamore","Willows","CA","95988"
"5025","American Baptist Seminary of the West","absw","2606 Dwight Way","Berkeley","CA","94704"
"5026","Asheville Buncombe Technical Community College","abtech","340 Victoria Rd","Asheville","NC","28801"
"5027","Atlanta College of Art","aca","1280 Peachtree St N E","Atlanta","GA","30309"
"5028","Acacia University","acacia","7665 S. Research Drive","Tempe","AZ","85284"
"5029","Keystone Technical Institute","Acadcampus","2301 Academy Dr","Harrisburg","PA","17112"
"5030","Academia Language School, Inc.","academiaschool","1600 Kapiolani Blvd., Suite 1215","Honolulu","HI","96814"
"5031","Academy of Art University","academyart","79 New Montgomery","San Francisco","CA","94105"
"5032","Academy College","academycollege","1101 E. 78th Street, Suite 100","Bloomington","MN","55420"
"5033","Academy Education Services","academyed","3151 W 5th Street Suite E101","Oxnard","CA","93030"
"5034","Vanguard College of Cosmetology","academyofcreativehairdesign","740 Oak Harbor Blvd","Slidell","LA","70458"
"5035","Academy of Hair Design","academyofhair","1815 Terry Rd","Jackson","MS","39204"
"5036","Academy of Hair Design Inc","academyofhairsalina","115 S Fifth St","Salina","KS","67401"
"5037","Academy Pacific Travel College","academypacific","1777 N Vine St","Los Angeles","CA","90028"
"5038","American College of Acupuncture and Oriental Medicine","acaom","9100 Park West Drive","Houston","TX","70063"
"5039","Academy of Couture Art","acawh","8484 Wilshire Boulevard, Suite 730","Beverly Hills","CA","90211"
"5040","Asnuntuck Community College","acc","170 Elm St","Enfield","CT","6082"
"5041","American Commercial College","acc-careers","3177 Executive Dr","San Angelo","TX","76904"
"5042","Access Careers","accesscareers","25 Elm Place, Suite #201","Brooklyn","NY","11201"
"5043","Access International Business Institute","accessESL","609 E. Liberty","Ann Arbor","MI","48104"
"5044","Access Careers - Kew Gardens","accessqueens","80-02 Kew Gardens Road","Kew Gardens","NY","11415"
"5045","Academy of Chinese Culture and Health Sciences","acchs","1601 Clay St","Oakland","CA","94612"
"5046","Alliance City Schools Career Centre","accrtw","530 N Lincoln Avenue","Alliance","OH","44601"
"5047","Accutech Career Institute","accutech","5310 Spectrum Dr","Frederick","MD","21703"
"5048","American College of Education","ace","101 West Ohio Street, Suite 2000","Indianapolis","IN","46204"
"5049","American College of Healthcare Sciences","achs","5940 SW Hood Ave","Portland","OR","97239"
"5050","Atlantic County Vocational Technical School","acitech","5080 Atlantic Avenue","Mays Landing","NJ","8330"
"5051","Allentown Career Institute","acitrain","941 Marcon Boulevard","Allentown","PA","18109"
"5052","Ashtabula County Technical and Career Campus","acjvs","1565 State Rte 167","Jefferson","OH","44047"
"5053","American College of Technology","acot","2700 N. Belt Highway","Saint Joseph","MO","64506"
"5054","Appalachian College of Pharmacy","acpharm","1060 Dragon Road","Oakwood","VA","24631"
"5055","Albany College of Pharmacy","acphs","106 New Scotland Avenue","Albany","NY","12208"
"5056","Assumption College for Sisters","acs350","350 Bernardsville Road","Mendham","NJ","7945"
"5057","American Conservatory Theater","act-sf","30 Grant Ave","San Francisco","CA","94108"
"5058","American College of Traditional Chinese Medicine","actcm","455 Arkansas St","San Francisco","CA","94107"
"5059","ACT College - Arlington","actcollege","1400 Key Boulevard, Suite 100","Arlington","VA","22209"
"5060","Portland Actors Conservatory","actorsconservatory","1436 Southwest Montgomery","Portland","OR","97201"
"5061","Amarillo College","actx","2200 S. Washington","Amarillo","TX","79109"
"5062","Abilene Christian University","acu","1600 Campus Court","Abilene","TX","79699"
"5063","East-West Healing Arts Institute","acupressureschool","6425 Normandy Lane","Madison","WI","53719"
"5064","Midwest College of Oriental Medicine","Acupuncture","6232 Bankers Road, Suites 5 & 6","Racine","WI","53403"
"5065","Southwest Acupuncture College - Albuquerque","acupuncturecollege","7801 Academy Road NE","Albuquerque","NM","87109"
"5066","Academy for Five Element Acupuncture","acupuncturist","305 SE 2nd Avenue","Gainesville","FL","32601"
"5067","Adams State University","adams","208 Edgemont Blvd","Alamosa","CO","81102"
"5068","ATI College","adconsys","12440 Firestone Blvd Ste 2001","Norwalk","CA","90650"
"5069","Adelphi University","ADELPHI","South Ave","Garden City","NY","11530"
"5070","Adler School of Professional Psychology","adler","65 E Wacker Pl Ste 2100","Chicago","IL","60601"
"5071","Adrian College","adrian","110 S Madison St","Adrian","MI","49221"
"5072","Santa Cruz Adult Education","adulted","2931 Mission Street","Santa Cruz","CA","95060"
"5073","Advanced Training Associates","advancedtraining","1810 Gillespie Way, Suite 104","El Cajon","CA","92020"
"5074","Washington Adventist Hospital","adventisthealthcare","7600 Carroll Avenue","Takoma Park","MD","20912"
