alternativeId,name,address.streetAddress,address.addressLocality,address.addressRegion,address.postalCode,adress.addressCountry,location,telephone,opeId,ipedsId,url
100016,Community College of the Air Force,130 W Maxwell Blvd,Montgomery,AL,36112-6613,US,"Montgomery, AL",334-953-6436,1230800,100636,www.maxwell.af.mil/au/ccaf/
100025,Alabama A & M University,4900 Meridian St,Normal,AL,35762,US,"Normal, AL",256-372-5000,100200,100654,www.aamu.edu/
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,35233,US,"Birmingham, AL",205-934-4011,105200,100663,www.uab.edu
100043,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,US,"Montgomery, AL",334-387-3877-100,2503400,100690,www.amridgeuniversity.edu
100052,University of Alabama at Huntsville,301 Sparkman Dr,Huntsville,AL,35899,US,"Huntsville, AL",256-824-6120,105500,100706,www.uah.edu
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,36104,US,"Montgomery, AL",334-229-4400,100500,100724,www.alasu.edu
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,35487-0100,US,"Tuscaloosa, AL",205-348-6010,105100,100751,www.ua.edu/
100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,35010,US,"Alexander City, AL",256-234-6346,100700,100760,www.cacc.edu
100104,Athens State University,300 N Beaty St,Athens,AL,35611,US,"Athens, AL",256-233-8100,100800,100812,www.athens.edu
100113,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,36117-3596,US,"Montgomery, AL",334-244-3000,831000,100830,www.aum.edu
100122,Auburn University Main Campus,,Auburn University,AL,36849,US,"Auburn University, AL",334-844-4000,100900,100858,www.auburn.edu
100140,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,US,"Birmingham, AL",205-226-4600,101200,100937,www.bsc.edu
100168,Chattahoochee Valley Community College,2602 College Dr,Phenix City,AL,36869,US,"Phenix City, AL",334-291-4900,1218200,101028,www.cv.edu
100177,Concordia College Alabama,1804 Green Street,Selma,AL,36701,US,"Selma, AL",334-874-5700-100,1055400,101073,www.concordiaselma.edu
100201,DCH Regional Medical Center,"809 University Blvd., East",Tuscaloosa,AL,35401,US,"Tuscaloosa, AL",,,101125,www.dchsystem.com
100210,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,US,"Enterprise, AL",334-347-2623,101500,101143,www.escc.edu
100229,James H. Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,US,"Bay Minette, AL",251-580-2100,106000,101161,www.faulknerstate.edu
100238,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,US,"Montgomery, AL",334-272-5820,100300,101189,www.faulkner.edu
100247,Gadsden Business College,3225 Rainbow Drive Suite 246,Rainbow City,AL,35906,US,"Rainbow City, AL",256-442-2805,446200,101231,www.gadsdenbusinesscollege.com
100256,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35902-0227,US,"Gadsden, AL",256-549-8200,101700,101240,www.gadsdenstate.edu
100274,George C Wallace Community College - Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,US,"Dothan, AL",334-983-3521,101800,101286,www.wallace.edu
100283,Wallace State Community College  - Hanceville,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,US,"Hanceville, AL",256-352-8000,787100,101295,www.wallacestate.edu
100292,George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,US,"Selma, AL",334-876-9227,569900,101301,www.wccs.edu
100326,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,US,"Montgomery, AL",334-833-4222,101900,101435,www.huntingdon.edu
100335,Huntsville Hospital,101 Sivley Road,Huntsville,AL,35801,US,"Huntsville, AL",,,101444,
100344,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,US,"Florence, AL",256-766-6610,2199700,101453,www.hcu.edu
100353,J.F. Drake State Community and Technical College,3421 Meridian St North,Huntsville,AL,35811,US,"Huntsville, AL",256-539-8161,526000,101462,www.drakestate.edu
100362,J F Ingram State Technical College,5375 Ingram Road,Deatsville,AL,36022,US,"Deatsville, AL",334-285-7870,3002500,101471,www.ingram.cc.al.us
100371,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,US,"Jacksonville, AL",256-782-5781,102000,101480,www.jsu.edu/
100380,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,US,"Brewton, AL",251-867-4832,102100,101499,www.jdcc.edu
100399,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,US,"Birmingham, AL",205-853-1200,102200,101505,www.jeffstateonline.com
100405,Calhoun Community College,6250 U S Highway 31 N,Tanner,AL,35671,US,"Tanner, AL",256-306-2500,101300,101514,www.calhoun.edu
100423,Judson College,302 Bibb St,Marion,AL,36756,US,"Marion, AL",334-683-5100,102300,101541,www.judson.edu
100441,University of West Alabama,205 North Washington Street,Livingston,AL,35470,US,"Livingston, AL",205-652-3400,102400,101587,www.uwa.edu
100450,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,US,"Andalusia, AL",334-222-6591,898800,101602,lbwcc.edu
100469,Marion Military Institute,1101 Washington St,Marion,AL,36756,US,"Marion, AL",334-683-2303,102600,101648,www.marionmilitary.edu
100487,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,US,"Fairfield, AL",205-929-1000,102800,101675,www.miles.edu
100496,University of Mobile,5735 College Parkway Drive,Mobile,AL,36663-0220,US,"Mobile, AL",251-675-5990,102900,101693,www.umobile.edu
100502,University of Montevallo,Station 6001,Montevallo,AL,35115,US,"Montevallo, AL",205-665-6155,100400,101709,www.montevallo.edu
100511,Northwest-Shoals Community College - Muscle Shoals,800 George Wallace Blvd,Muscle Shoals,AL,35661,US,"Muscle Shoals, AL",256-331-5200,569700,101736,www.nwscc.edu
100520,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,US,"Florence, AL",256-765-4100,101600,101879,www.una.edu
100539,Northeast Alabama Community College,138 Alabama Highway 35,Rainsville,AL,35986,US,"Rainsville, AL",205-638-4418-222,103100,101897,www.nacc.edu
100548,Northwest-Shoals Community College - Phil Campbell,2080 College Road,Phil Campbell,AL,35881,US,"Phil Campbell, AL",,,101903,
100557,Oakwood University,7000 Adventist Blvd N.W.,Huntsville,AL,35896,US,"Huntsville, AL",256-726-7000,103300,101912,www.oakwood.edu
100566,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,US,"Monroeville, AL",251-575-3156-600,103400,101949,www.ascc.edu
100575,Prince Institute - Southeast,596 W. Lamont Road,Elmhurst,IL,60126,US,"Elmhurst, IL",334-271-1670,2296000,101958,princeinstitute.com
100584,Reid State Technical College,I-65 and Highway 83,Evergreen,AL,36401,US,"Evergreen, AL",251-578-1313,569200,101994,www.rstc.cc.al.us
100593,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5362,US,"Mobile, AL",251-405-7130,103000,102030,www.bishop.edu
100609,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,US,"Birmingham, AL",205-726-2011,103600,102049,www.samford.edu
100618,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,US,"Tuscaloosa, AL",205-391-2347,569100,102067,www.sheltonstate.edu
100627,Snead State Community College,220 North Walnut Street,Boaz,AL,35957-0734,US,"Boaz, AL",256-593-5120,103800,102076,www.snead.edu
100636,University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,US,"Mobile, AL",334-460-6101,105700,102094,www.usouthal.edu
100645,Southern Community College,205 S Main St,Tuskegee,AL,36083-0688,US,"Tuskegee, AL",334-727-5220-3022,1123700,102216,www.SOUTHERNCOMMUNITYCOLLEGE.ORG
100654,Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,US,"Mobile, AL",251-380-4000,104100,102234,www.shc.edu
100663,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35244-2083,US,"Birmingham, AL",205-970-9200,2270400,102261,www.sebc.edu
100672,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403,US,"Tuscaloosa, AL",205-349-4240,104400,102270,www.stillman.edu
100681,Talladega College,627 W Battle St,Talladega,AL,35160,US,"Talladega, AL",256-362-0206,104600,102298,www.talladega.edu
100690,H. Councill Trenholm State Community College,1225 Air Base Blvd,Montgomery,AL,36108,US,"Montgomery, AL",334-420-4295,573400,102313,www.trenholmstate.edu
100733,Troy University,University Avenue,Troy,AL,36082-0001,US,"Troy, AL",334-670-3100,104700,102368,www.troy.edu
100742,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,US,"Tuskegee, AL",334-727-8011,105000,102377,www.tuskegee.edu
100751,United States Sports Academy,One Academy Dr,Daphne,AL,36526-7055,US,"Daphne, AL",251-626-3303-162,2170600,102395,www.ussa.edu
100760,Bevill State Community College,101 State St,Sumiton,AL,35148,US,"Sumiton, AL",205-648-3271-5400,573300,102429,www.bscc.edu
100779,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508-8046,US,"Anchorage, AK",907-786-1480,1146200,102553,www.uaa.alaska.edu
100788,University of Alaska Fairbanks,Signers' Hall,Fairbanks,AK,99775-7480,US,"Fairbanks, AK",907-474-7211,106300,102614,www.uaf.edu
100797,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,US,"Juneau, AK",907-465-6457,106500,102632,www.uas.alaska.edu
100803,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,US,"Anchorage, AK",907-561-1266,106100,102669,www.alaskapacific.edu
100812,Alaska Vocational Technical Center,809 Second Avenue,Seward,AK,99664-0889,US,"Seward, AK",907-224-3322,3160300,102711,avtec.labor.state.ak.us/
100821,Charter College,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,US,"Anchorage, AK",907-277-1000,2576900,102845,www.chartercollege.edu
100830,Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686,US,"Valdez, AK",907-834-1632,1146205,103361,www.pwscc.edu.
100849,Sheldon Jackson College,801 Lincoln Street,Sitka,AK,99835-7699,US,"Sitka, AK",907-747-5220,106200,103440,www.sj-alaska.edu
100858,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,US,"Anchorage, AK",907-563-7575,2541000,103501,www.careeracademy.net
100876,Everest College - Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,85021,US,"Phoenix, AZ",602-942-4141,2295000,103644,www.cci.edu
100919,Thunderbird School of Global Management,15249 N 59th Ave,Glendale,AZ,85306-6000,US,"Glendale, AZ",602-978-7000,107000,103778,www.t-bird.edu
